Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,211.29080106357148,0.24007334436537672,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,93.68604989337882,0.10534660189008793,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,110.14899703374229,0.1243939941177063,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,106,1.5983693678981807,0.5399853487819837,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,0.7172515420477356,0.3436726417673623,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.6784543777641894,0.6596132549939349,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.1024839729915583,0.19075171411192038,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.322769016695541,0.23739510509530767,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,0.993207628914664,0.17510213391563326,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,122,0.49511847313083457,0.5305710572163043,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.9779176123074323,1.0594273002179508,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.36794090771891214,0.5094752568990343,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,133,704.4677619715553,0.5183125832495085,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,639.6751119572393,0.795701766466842,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,412.4206810244903,0.536174184200283,
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,12017.419536046575,0.4488834421469162,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,16310.085278230876,0.5608357101631058,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,10251.088014417619,0.3744864469676671,
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,8105.531600809709,0.3356281543755384,
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.28169818687877907,2.5917467357959967,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.33965909692981106,1.222357715862399,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,357,2.3014172404706152,0.32765554895685567,0.8851540616246498
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,336,0.22429167845826795,1.8570760691451182,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,102,0.13677412889245985,20.662274540545532,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,594.2168717119891,0.6714510476286565,0.41237113402061853
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,314,5.133239387427538,2.0239891653557085,0.7898089171974523
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,3.4110825174029844,0.6008982186777801,0.8365384615384616
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,362,1.2046606851533388,1.4009527402282476,0.9530386740331491
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,401,1156.5182127512414,1.1843888262786813,0.5810473815461347
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,CT,14,0.41949423035052397,3.614104138404515,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,MT,14,0.19961936464855823,2.2411155614112395,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,ST,14,0.14912513346951972,1.233167081260057,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,CT,42,0.3511650821219891,1.2400313981102693,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,MT,43,0.31990092027147576,1.1443566882969476,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,ST,44,0.34715489078230405,1.280262777170512,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,CT,122,2.0503004297270775,0.295369021294159,0.8934426229508197
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,MT,116,2.5929795898561596,0.36193750795484053,0.8793103448275862
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,ST,119,2.2418326416818886,0.3215646639869155,0.8823529411764706
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,CT,112,0.2140639302565862,1.9009800339944223,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,MT,112,0.23468866765771138,1.665355008563606,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,ST,112,0.22364734318348797,2.055599067461381,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,CT,34,0.1408911362775422,19.25051693231172,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,MT,34,0.13946640055533266,22.361978867631784,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,ST,34,0.12969309093947987,20.576598655820458,1.0
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,CT,32,557.5601647540057,0.6335123572044732,0.59375
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,MT,32,601.251686344453,0.6760859499269976,0.3125
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,ST,33,621.1920677446957,0.7015276080755264,0.3333333333333333
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,CT,106,4.8039677039241875,1.6229491306831245,0.7830188679245284
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,MT,102,4.465491166668814,2.139649838404606,0.7843137254901961
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,ST,106,5.982462161291764,2.3510387838745954,0.8018867924528302
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,CT,36,2.810959553113514,0.4863520615186178,0.8611111111111112
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,MT,34,3.5638744649754135,0.6396024872678541,0.8235294117647058
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,ST,34,3.8109583440820933,0.6718705322889715,0.8235294117647058
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,CT,122,0.8961221285440942,0.9602882763191227,0.9672131147540983
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,MT,120,1.6397861430571294,1.7764627455422892,0.9416666666666667
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,ST,120,0.9340725398946386,1.2933784671442605,0.95
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,CT,133,1375.3951944347446,1.0119478487153495,0.47368421052631576
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,MT,134,1143.007766770794,1.4218050415030659,0.6865671641791045
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,ST,134,904.7431055108776,1.1762259237414898,0.582089552238806
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,25479.24836050578,0.9517195162467098,0.8828828828828829
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,CT,111,24740.118197894208,0.8507093324370519,0.9009009009009009
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,MT,101,28001.218422466216,1.0229233017067885,0.8712871287128713
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,ST,121,23888.502020284588,0.9891582981507969,0.8760330578512396
